Fecha,Mercador,Pagador,Super Mercado,Barrio,Factura,Solo Brando,Solo Vane,Brando Paga Vane,Vane Paga Brando,Brando Suprise,burtbees,papel higenico,Cauzela,Cereal,Leche,Jugo,Higos,Mango,Kiwi,Pitahaya,papaya,Fresa,Piña,mixta,Galupa,Arandano,Uchuva,Pera nacional,Pera Verde,Manzana Granny,Manzana Royal,Manzana Mixta,Ciruela,Nectarin,Durazno,Plantano,Banano,Mandarina,Limon,Guanabana,Granadilla,Fruta,broccoli,esparragos,aguacate,vegetalesMixta,Habicuela,Champinon,Zanahoria,Tomate,TomateArbol,white onion,red onion,Pimentos,Brocoli,Berenjena,Calabacin,aguacate injert,aguacate hass,Ajo,Papa,Ensalada,Verdura,carne precessada,carne molida,vaca,pollo,tocino,cerdo,camaron,pescado,huevos,Carne,aveva,arroz,lentejas,frijoles,garbazos,Arepa,pasta,pasta sauce,Quesito,Cafe,TÉ,Cerveza,Papel HIgenico,Mercato,Cosa por el baño,Pastilla,Para la Casa,Bosas Plasticas,IVA,Factura Compartido   Con Amor
21-Oct-17,los_dos,Vane,Carulla,Envigado,98833.00,0.00,98833.00,,,,,,,,9600.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8610.00,,,,,,,,,,45170.00,,,,,,,,,,,,,,,25000.00,,,102.00,,0.00
21-Oct-18,Brando,Brando,Jumbo,Envigado,132338.00,12900.00,0.00,,,41790.00,,,,12900.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,25061.00,,,,,,,,,,,,,,,,,,,,,4088.00,,,,,,,,,,,,,,,,10990.00,,,,,,,,,,,,51.00,,119438.00
21-Oct-18,Vane,Vane,Merka,Caldas,95926.00,0.00,19150.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2426.00,,,,,,,,,,,,,,,,,,,,21800.00,,,,14450.00,11600.00,,,50.00,,76776.00
21-Oct-21,Brando,Brando,Carulla,Envigado,81265.00,0.00,0.00,,,,,,,,9600.00,4590.00,,,,,,,,,,,,,,,,,,,,,,,,,,30211.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19400.00,,,9400.00,,,,,,,,,,,81265.00
21-Oct-24,los_dos,Vane,Carulla,Envigado,113442.00,0.00,9400.00,17600.00,,,,,,,10400.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10821.00,,,,,,,,,,15519.00,,,,,,7400.00,,,9400.00,22600.00,27800.00,,,,,,,102.00,,104042.00
21-Oct-26,Brando,Brando,Jumbo,Envigado,171087.00,0.00,0.00,,,64437.00,,,,14915.00,7980.00,,,,,,,,,,,,,,,,,,,,,,,,,,,26565.00,,,,,,,,,,,,,,,,,,,,,9937.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.00,,171087.00
21-Oct-29,Brando,Brando,Carulla,Envigado,84172.00,12900.00,0.00,,,,,,,,12900.00,,,,,,,,,,,,,,,,,,,,,,,,,,,5598.00,,,,,,,,,,,,,,,,,,,,,2603.00,,,,,,,,,,,,,,,,19120.00,,,4400.00,,,12900.00,,,,,,51.00,,71272.00
21-Oct-30,Brando,Brando,Jumbo,Envigado,129316.00,91980.00,0.00,,,,,,,3990.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,3990.00,,,,,,,,,,,,,,,,,,,,,5727.00,,,,,,,,,,15439.00,,,,,,,,,,,,,,,,,,102.00,,37336.00
21-Nov-01,los_dos,Vane,Jumbo,Envigado,20000.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000.00,0.00,,20000.00
21-Nov-01,los_dos,Vane,Jumbo,Envigado,90550.00,0.00,22990.00,,,,,,,12990.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,10918.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.00,,67560.00
21-Nov-03,Brando,Brando,Carulla,Envigado,60351.00,0.00,0.00,,,,,,,,17900.00,,,,,,,,,,,,,,,,,,,,,,,,,,,6500.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.00,,,4800.00,,,,,,,,,51.00,,60351.00
21-Nov-04,Brando,Brando,Jumbo,Envigado,192208.00,15844.00,0.00,,,41557.00,,,,20990.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,54597.00,,,,,,,,,,,,,,,,,,,,,7831.00,,,,,,,,,,,,,,,,,,,,,,38740.00,,,11590.00,,71990.00,103.00,,176364.00
21-Nov-04,los_dos,Brando,Jumbo,Envigado,37071.00,0.00,0.00,,,,,,20392.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12040.00,,,,,,,,,,,,,,15480.00,,,,51.00,,37071.00
21-Nov-06,Brando,Brando,Carulla,Envigado,39285.00,0.00,0.00,,,,,,1815.00,,7500.00,3770.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1815.00,,,,,,,,,,,,,,,,,,,8600.00,,,,,,,,,,,39285.00
21-Nov-07,los_dos,Brando,Carulla,Envigado,47851.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27000.00,,,,18700.00,,,2100.00,51.00,,47851.00
21-Nov-09,Brando,Brando,Jumbo,Envigado,30421.00,0.00,0.00,,,,,,,26200.00,3880.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.00,,30421.00
21-Nov-12,Brando,Brando,Carulla,Envigado,96321.00,0.00,0.00,,,,,,,,10000.00,11580.00,,,,,,,,,,,,,,,,,,,,,,,,,,12267.00,,,,,,,,,,,,,,,,,,,,,2623.00,,,,,,,,,,,,,,,,19800.00,,,13000.00,27000.00,,,,,,,,51.00,,96321.00
