Fecha,Mercador,Pagador,Super Mercado,Barrio,Factura,Solo Brando,Solo Vane,Brando Paga Vane,Vane Paga Brando,Brando Suprise,burtbees,papel higenico,Cauzela,Cereal,Leche,Jugo,Higos,Mango,Kiwi,Pitahaya,papaya,Fresa,Piña,mixta,Galupa,Arandano,Uchuva,Pera nacional,Pera Verde,Manzana Granny,Manzana Royal,Manzana Mixta,Ciruela,Nectarin,Durazno,Plantano,Banano,Mandarina,Limon,Guanabana,Granadilla,Fruta,broccoli,esparragos,aguacate,vegetalesMixta,Habicuela,Champinon,Zanahoria,Tomate,TomateArbol,white onion,red onion,Pimentos,Brocoli,Berenjena,Calabacin,aguacate injert,aguacate hass,Ajo,Papa,Ensalada,Verdura,carne precessada,carne molida,vaca,pollo,tocino,cerdo,camaron,pescado,huevos,Carne,aveva,arroz,lentejas,frijoles,garbazos,Arepa,pasta,pasta sauce,Quesito,Cafe,TÉ,Cerveza,Papel HIgenico,Mercato,Cosa por el baño,Pastilla,Para la Casa,Bosas Plasticas,IVA,Factura Compartido   Con Amor
21-Oct-17,los_dos,Vane,Carulla,Envigado,"98,833",0,"98,833",,,,,,,,"9,600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,610",,,,,,,,,,"45,170",,,,,,,,,,,,,,,"25,000",,,102,,0
21-Oct-18,Brando,Brando,Jumbo,Envigado,"132,338","12,900",0,,,"41,790",,,,"12,900",,,,,,,,,,,,,,,,,,,,,,,,,,,,"25,061",,,,,,,,,,,,,,,,,,,,,"4,088",,,,,,,,,,,,,,,,"10,990",,,,,,,,,,,,51,,"119,438"
21-Oct-18,Vane,Vane,Merka,Caldas,"95,926",0,"19,150",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,426",,,,,,,,,,,,,,,,,,,,"21,800",,,,"14,450","11,600",,,50,,"76,776"
21-Oct-21,Brando,Brando,Carulla,Envigado,"81,265",0,0,,,,,,,,"9,600","4,590",,,,,,,,,,,,,,,,,,,,,,,,,,"30,211",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19,400",,,"9,400",,,,,,,,,,,"81,265"
21-Oct-24,los_dos,Vane,Carulla,Envigado,"113,442",0,"9,400","17,600",,,,,,,"10,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,821",,,,,,,,,,"15,519",,,,,,"7,400",,,"9,400","22,600","27,800",,,,,,,102,,"104,042"
21-Oct-26,Brando,Brando,Jumbo,Envigado,"171,087",0,0,,,"64,437",,,,"14,915","7,980",,,,,,,,,,,,,,,,,,,,,,,,,,,"26,565",,,,,,,,,,,,,,,,,,,,,"9,937",,,,,,,,,,,,,,,,,,,,,,,,,,,,102,,"171,087"
21-Oct-29,Brando,Brando,Carulla,Envigado,"84,172","12,900",0,,,,,,,,"12,900",,,,,,,,,,,,,,,,,,,,,,,,,,,"5,598",,,,,,,,,,,,,,,,,,,,,"2,603",,,,,,,,,,,,,,,,"19,120",,,"4,400",,,"12,900",,,,,,51,,"71,272"
21-Oct-30,Brando,Brando,Jumbo,Envigado,"129,316","91,980",0,,,,,,,"3,990",,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,990",,,,,,,,,,,,,,,,,,,,,"5,727",,,,,,,,,,"15,439",,,,,,,,,,,,,,,,,,102,,"37,336"
21-Nov-01,los_dos,Vane,Jumbo,Envigado,"20,000",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,000",0,,"20,000"
21-Nov-01,los_dos,Vane,Jumbo,Envigado,"90,550",0,"22,990",,,,,,,"12,990",,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,918",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,,"67,560"
