Category: All categories

Month,AAPL: (United States)
2004-01,3
2004-02,1
2004-03,3
2004-04,4
2004-05,3
2004-06,3
2004-07,4
2004-08,2
2004-09,3
2004-10,5
2004-11,7
2004-12,7
2005-01,11
2005-02,14
2005-03,10
2005-04,15
2005-05,12
2005-06,14
2005-07,13
2005-08,13
2005-09,16
2005-10,24
2005-11,23
2005-12,27
2006-01,41
2006-02,31
2006-03,26
2006-04,32
2006-05,24
2006-06,21
2006-07,24
2006-08,29
2006-09,24
2006-10,25
2006-11,26
2006-12,29
2007-01,52
2007-02,28
2007-03,27
2007-04,33
2007-05,42
2007-06,64
2007-07,77
2007-08,60
2007-09,58
2007-10,66
2007-11,60
2007-12,49
2008-01,78
2008-02,46
2008-03,47
2008-04,55
2008-05,55
2008-06,52
2008-07,50
2008-08,33
2008-09,46
2008-10,65
2008-11,37
2008-12,29
2009-01,35
2009-02,23
2009-03,24
2009-04,27
2009-05,21
2009-06,26
2009-07,24
2009-08,19
2009-09,22
2009-10,30
2009-11,21
2009-12,20
2010-01,34
2010-02,22
2010-03,25
2010-04,38
2010-05,33
2010-06,33
2010-07,27
2010-08,20
2010-09,25
2010-10,32
2010-11,23
2010-12,21
2011-01,38
2011-02,30
2011-03,30
2011-04,29
2011-05,20
2011-06,26
2011-07,33
2011-08,54
2011-09,28
2011-10,57
2011-11,25
2011-12,23
2012-01,33
2012-02,42
2012-03,62
2012-04,68
2012-05,47
2012-06,39
2012-07,41
2012-08,52
2012-09,61
2012-10,67
2012-11,64
2012-12,59
2013-01,92
2013-02,60
2013-03,55
2013-04,71
2013-05,58
2013-06,45
2013-07,50
2013-08,59
2013-09,65
2013-10,61
2013-11,39
2013-12,47
2014-01,49
2014-02,40
2014-03,29
2014-04,40
2014-05,43
2014-06,59
2014-07,51
2014-08,44
2014-09,69
2014-10,51
2014-11,41
2014-12,37
2015-01,45
2015-02,45
2015-03,44
2015-04,46
2015-05,37
2015-06,35
2015-07,48
2015-08,57
2015-09,45
2015-10,42
2015-11,30
2015-12,27
2016-01,55
2016-02,38
2016-03,34
2016-04,44
2016-05,46
2016-06,36
2016-07,36
2016-08,33
2016-09,38
2016-10,35
2016-11,28
2016-12,20
2017-01,27
2017-02,36
2017-03,28
2017-04,21
2017-05,38
2017-06,32
2017-07,25
2017-08,38
2017-09,31
2017-10,28
2017-11,37
2017-12,26
2018-01,32
2018-02,44
2018-03,29
2018-04,30
2018-05,40
2018-06,29
2018-07,29
2018-08,45
2018-09,35
2018-10,38
2018-11,55
2018-12,37
2019-01,53
2019-02,29
2019-03,32
2019-04,34
2019-05,35
2019-06,26
2019-07,29
2019-08,30
2019-09,24
2019-10,33
2019-11,27
2019-12,28
2020-01,42
2020-02,44
2020-03,65
2020-04,39
2020-05,32
2020-06,38
2020-07,47
2020-08,84
2020-09,100
2020-10,71
2020-11,49
2020-12,54
2021-01,59
2021-02,57
2021-03,56
2021-04,50
2021-05,37
2021-06,35
2021-07,45
2021-08,34
2021-09,35
2021-10,33
2021-11,35
2021-12,43
2022-01,41
2022-02,33
2022-03,33
2022-04,32
2022-05,37
2022-06,29
2022-07,30
2022-08,30
2022-09,28
2022-10,30
2022-11,26
2022-12,23
