Category: All categories

Month,GOOG: (United States)
2004-01,4
2004-02,3
2004-03,4
2004-04,5
2004-05,5
2004-06,5
2004-07,6
2004-08,32
2004-09,19
2004-10,23
2004-11,24
2004-12,19
2005-01,16
2005-02,21
2005-03,16
2005-04,29
2005-05,36
2005-06,50
2005-07,47
2005-08,35
2005-09,34
2005-10,52
2005-11,68
2005-12,61
2006-01,88
2006-02,100
2006-03,73
2006-04,61
2006-05,54
2006-06,43
2006-07,43
2006-08,39
2006-09,39
2006-10,57
2006-11,53
2006-12,43
2007-01,44
2007-02,49
2007-03,41
2007-04,45
2007-05,39
2007-06,44
2007-07,50
2007-08,40
2007-09,38
2007-10,62
2007-11,71
2007-12,48
2008-01,52
2008-02,57
2008-03,52
2008-04,54
2008-05,47
2008-06,41
2008-07,44
2008-08,35
2008-09,48
2008-10,54
2008-11,41
2008-12,35
2009-01,37
2009-02,40
2009-03,35
2009-04,37
2009-05,35
2009-06,33
2009-07,33
2009-08,30
2009-09,31
2009-10,38
2009-11,36
2009-12,39
2010-01,44
2010-02,40
2010-03,39
2010-04,41
2010-05,44
2010-06,38
2010-07,38
2010-08,35
2010-09,38
2010-10,48
2010-11,42
2010-12,42
2011-01,57
2011-02,54
2011-03,52
2011-04,56
2011-05,51
2011-06,51
2011-07,60
2011-08,60
2011-09,56
2011-10,61
2011-11,58
2011-12,59
2012-01,65
2012-02,61
2012-03,60
2012-04,61
2012-05,64
2012-06,59
2012-07,54
2012-08,54
2012-09,58
2012-10,68
2012-11,60
2012-12,59
2013-01,65
2013-02,64
2013-03,57
2013-04,60
2013-05,59
2013-06,53
2013-07,54
2013-08,54
2013-09,58
2013-10,78
2013-11,65
2013-12,65
2014-01,69
2014-02,76
2014-03,70
2014-04,78
2014-05,73
2014-06,61
2014-07,55
2014-08,51
2014-09,49
2014-10,52
2014-11,46
2014-12,44
2015-01,43
2015-02,43
2015-03,41
2015-04,41
2015-05,39
2015-06,33
2015-07,43
2015-08,39
2015-09,40
2015-10,41
2015-11,37
2015-12,33
2016-01,33
2016-02,38
2016-03,32
2016-04,33
2016-05,30
2016-06,29
2016-07,30
2016-08,28
2016-09,27
2016-10,29
2016-11,30
2016-12,23
2017-01,27
2017-02,25
2017-03,24
2017-04,25
2017-05,27
2017-06,25
2017-07,24
2017-08,22
2017-09,23
2017-10,25
2017-11,24
2017-12,23
2018-01,24
2018-02,29
2018-03,23
2018-04,28
2018-05,24
2018-06,19
2018-07,25
2018-08,22
2018-09,22
2018-10,28
2018-11,24
2018-12,23
2019-01,22
2019-02,25
2019-03,22
2019-04,23
2019-05,23
2019-06,21
2019-07,20
2019-08,19
2019-09,18
2019-10,20
2019-11,17
2019-12,15
2020-01,20
2020-02,25
2020-03,26
2020-04,25
2020-05,19
2020-06,18
2020-07,20
2020-08,20
2020-09,20
2020-10,19
2020-11,15
2020-12,13
2021-01,15
2021-02,20
2021-03,15
2021-04,18
2021-05,15
2021-06,15
2021-07,18
2021-08,17
2021-09,17
2021-10,22
2021-11,21
2021-12,22
2022-01,27
2022-02,37
2022-03,32
2022-04,33
2022-05,30
2022-06,24
2022-07,29
2022-08,25
2022-09,22
2022-10,24
2022-11,23
2022-12,18
