Timestamp,Years of experience with Python?,I have used .... ,What discipline most interests you?,What has been your favorite of Brandyn's Guided Projects?,What would you like to see in the next guided project?,fav type of project,Ideal length of project?,Years of experience with sklearn,years of experience with pandas,years of experience with Tensorflow,genre type of dataset you enjoy working with,"what can brandyn do to improve overall quality?  ie. increase/decrease pace, change format of workflow, add/decrease how much is left to fill in.  Every suggestion is like a new update of my parameters and little by little just like a NN improves it's predictions epoch by epoch I improve with each suggestion.  Thank you all in advance
Teacher Brandyn","If you've like the videos please give me a review
here",years with seaborn
8/1/2022 6:12:13,5,"Pandas, Seaborn, YellowBrick, Sklearn, Tensorflow",Deep Learning,Google Stock Prediction with Tensorflow using LSTM,t,Medical Health or sickness prediction,15 min,,,,,,,
8/6/2022 9:58:39,1,,Data Analysis,"Google Stock Prediction with Tensorflow using LSTM, Ukraine War Data Analysis",Clueless ,"Financial stock, default, real estate predictions",30 min,0,1,1,Csv,,,
8/6/2022 22:26:17,1,,Data Analysis,Google Stock Prediction with Tensorflow using LSTM,Learn,"Financial stock, default, real estate predictions",40 min,0,1,0,Number,,,
8/6/2022 23:23:42,0,,Data Analysis,Google Stock Prediction with Tensorflow using LSTM,Medical prediction ,Medical Health or sickness prediction,30 min,0,0,0,All,,,
8/7/2022 2:29:25,2,,Data Analysis,Ensemble Methods Diabetes Prediction,Predicting stock price ,"Financial stock, default, real estate predictions",20 min,2,2,0,Stock market data,,,
8/7/2022 3:46:40,0,,Data Analysis,,Data analysis,Medical Health or sickness prediction,40 min,0,0,0,Dw,,,
8/7/2022 12:11:34,1year,,Data Analysis,Google Stock Prediction with Tensorflow using LSTM,Shares analysis,"Machine Learning Prediction, Data Analysis with Pandas",15 min,0,1year,0,"stock market, medical / healthcare, marketing, images, business",,,
8/7/2022 17:22:40,0,,Machine Learning,"Google Stock Prediction with Tensorflow using LSTM, Ukraine War Data Analysis, Ensemble Methods Diabetes Prediction, Drugged Islanders Data Analysis",Decission tree,"NLP Text generation, NLP sentiment prediction, ComputerVision, Machine Learning Prediction, Machine Learning Cluster, Data Analysis with Pandas, Data Analysis with Seaborn",40 min,0,0,0,"stock market, medical / healthcare, marketing, images, nlp, business, physcology / human nature, current events",,,
8/7/2022 19:26:59,0,,Data Analysis,,n/a,"Data Analysis with Pandas, Data Analysis with Seaborn",10 min,0,0,0,"stock market, medical / healthcare, marketing, business, current events",,,
8/7/2022 21:07:51,0,,Data Analysis,Ukraine War Data Analysis,Any data analysis project,"Data Analysis with Pandas, Data Analysis with Seaborn",20 min,0,0,0,"stock market, marketing, images, business, current events",,,
8/7/2022 22:32:33,2,,Machine Learning,Google Stock Prediction with Tensorflow using LSTM,Any,"NLP Text generation, NLP sentiment prediction, ComputerVision, Machine Learning Prediction, Data Analysis with Pandas, Data Analysis with Seaborn",20 min,1.5,1.5,1.5,"stock market, medical / healthcare, nlp, business",,,
8/8/2022 1:25:50,1,,Data Analysis,Ensemble Methods Diabetes Prediction,Health care ,"NLP Text generation, Data Analysis with Pandas, Data Analysis with Seaborn",15 min,3 month ,1,0,medical / healthcare,Use more new python module ,,
8/8/2022 3:28:01,1,,Data Analysis,Ukraine War Data Analysis,Clueless,"Data Analysis with Pandas, Data Analysis with Seaborn",30 min,1,1,1,"stock market, business, physcology / human nature",,,
8/8/2022 6:49:14,2,,Data Analysis,Drugged Islanders Data Analysis,Mining project ,Data Analysis with Pandas,30 min,0,2,0,images,,,
8/8/2022 7:43:39,5 months,,Data Analysis,"Google Stock Prediction with Tensorflow using LSTM, Ukraine War Data Analysis, Ensemble Methods Diabetes Prediction, Drugged Islanders Data Analysis",all,"Data Analysis with Pandas, Data Analysis with Seaborn",20 min,a little,5 months,0,"stock market, medical / healthcare, marketing, nature, business, current events, finance",,,
8/8/2022 11:46:12,3 months,,Machine Learning,This my first time I have come this post.,I am able to learn whatever you will share.,Machine Learning Prediction,40 min,1 month,3 months ,0,stock market,,,
8/8/2022 12:04:06,1+ years ,,Machine Learning,"Ukraine War Data Analysis, Ensemble Methods Diabetes Prediction, Drugged Islanders Data Analysis, Insurance premium prediction , all supervised and unsupervised projects ",Machine learning project and data analytics project,"Machine Learning Prediction, Machine Learning Cluster, Data Analysis with Pandas, Data Analysis with Seaborn",40 min,5 months ,1 year ,,"medical / healthcare, marketing, business, Insurance, education",,,
8/9/2022 16:43:25,1,,Data Analysis,Ukraine War Data Analysis,Visual,Data Analysis with Pandas,30 min,,0.1,0,"medical / healthcare, marketing, business",,,
8/9/2022 17:11:16,3,,Machine Learning,"Google Stock Prediction with Tensorflow using LSTM, Ukraine War Data Analysis, Ensemble Methods Diabetes Prediction, Drugged Islanders Data Analysis",Explanation on how to build machine Learning prediction models ,"NLP Text generation, NLP sentiment prediction, ComputerVision, Machine Learning Prediction, Machine Learning Cluster, Data Analysis with Pandas, Data Analysis with Seaborn",30 min,2,3,0,"stock market, medical / healthcare, images, nlp, business, physcology / human nature, current events",Increase ,,
8/9/2022 22:26:08,new,,Deep Learning,Drugged Islanders Data Analysis,i like to see some bacteria simulations,"Data Analysis with Pandas, Data Analysis with Seaborn",20 min,none,new,none,medical / healthcare,,,
8/10/2022 12:14:29,1 year,,Data Analysis,"Ukraine War Data Analysis, Drugged Islanders Data Analysis",data analysis,"NLP Text generation, NLP sentiment prediction, Machine Learning Prediction, Data Analysis with Pandas, Data Analysis with Seaborn",40 min,00,1 year,00,"stock market, medical / healthcare, images, nature, physcology / human nature",,,
