date_index,AverageWeeklyHours,ChallengerJobCuts,UnemploymentRate,7YearNoteAuction,CoreCPIMoM,FedInterestRateDecision,BloombergConsumerConfidence,MichiganInflationExpectations,ChicagoPMI,MBA30YearMortgageRate,EIAWeeklyDistillatesStocks,DomesticTruckSales,TradeBalance
2006-01-01,,107.82K,4.90%,,0.10%,,,3.10%,60.2,6.22%,-0.13M,8.04M,-64.40B
2006-01-06,,107.82K,4.90%,,0.10%,,,3.10%,60.2,6.22%,-0.13M,8.04M,-64.40B
2006-01-13,,107.82K,4.90%,,0.10%,,,3.10%,60.2,6.22%,-0.13M,8.04M,-64.40B
2006-01-20,,107.82K,4.90%,,0.10%,,,3.10%,60.2,6.22%,-0.13M,8.04M,-64.40B
2006-01-27,,107.82K,4.90%,,0.10%,,,3.10%,60.2,6.22%,-0.13M,8.04M,-64.40B
2006-01-31,,107.82K,4.90%,,0.10%,4.50%,,3.10%,60.2,6.22%,-0.13M,8.04M,-64.40B
2006-02-01,,103.47K,4.70%,,0.20%,4.50%,,3.00%,61.1,6.10%,1.65M,7.67M,-66.70B
2006-02-03,,103.47K,4.70%,,0.20%,4.50%,,3.00%,61.1,6.10%,1.65M,7.67M,-66.70B
2006-02-10,,103.47K,4.70%,,0.20%,4.50%,,3.00%,61.1,6.10%,1.65M,7.67M,-66.70B
2006-02-17,,103.47K,4.70%,,0.20%,4.50%,,3.00%,61.1,6.10%,1.65M,7.67M,-66.70B
2006-02-24,,103.47K,4.70%,,0.20%,4.50%,,3.00%,61.1,6.10%,1.65M,7.67M,-66.70B
2006-03-01,,87.44K,4.80%,,0.20%,4.50%,,3.00%,59.5,6.23%,-0.78M,7.62M,-62.90B
2006-03-03,,87.44K,4.80%,,0.20%,4.50%,,3.00%,59.5,6.23%,-0.78M,7.62M,-62.90B
2006-03-10,,87.44K,4.80%,,0.20%,4.50%,,3.00%,59.5,6.23%,-0.78M,7.62M,-62.90B
2006-03-17,,87.44K,4.80%,,0.20%,4.50%,,3.00%,59.5,6.23%,-0.78M,7.62M,-62.90B
