,date_index,AverageWeeklyHours,ChallengerJobCuts,UnemploymentRate,3YearNoteAuction,7YearNoteAuction,CoreCPIMoM,FedInterestRateDecision,BloombergConsumerConfidence,MichiganInflationExpectations,ChicagoPMI,MBA30YearMortgageRate,EIAWeeklyDistillatesStocks,DomesticTruckSales,TradeBalance,ISMNewYorkIndex,DurablesExcludingDefenseMoM,NYEmpireStateManufacturingIndex,RichmondServicesIndex,RealEarningsMoM,UnemploymentRate,BuildingPermits,NewHomeSalesMoM,52WeekBillAuction,CrudeOilInventories,TradeBalance
0,2006-01-01,,107.82K,4.90%,,,0.10%,,,3.10%,60.2,6.22%,-0.13M,8.04M,-64.40B,340.0,-1.80%,22.94,15,,4.90%,,2.10%,,0.54M,-64.40B
1,2006-01-06,,107.82K,4.90%,,,0.10%,,,3.10%,60.2,6.22%,-0.13M,8.04M,-64.40B,340.0,-1.80%,22.94,15,,4.90%,,2.10%,,0.54M,-64.40B
2,2006-01-13,,107.82K,4.90%,,,0.10%,,,3.10%,60.2,6.22%,-0.13M,8.04M,-64.40B,340.0,-1.80%,22.94,15,,4.90%,,2.10%,,0.54M,-64.40B
3,2006-01-20,,107.82K,4.90%,,,0.10%,,,3.10%,60.2,6.22%,-0.13M,8.04M,-64.40B,340.0,-1.80%,22.94,15,,4.90%,,2.10%,,0.54M,-64.40B
4,2006-01-27,,107.82K,4.90%,,,0.10%,,,3.10%,60.2,6.22%,-0.13M,8.04M,-64.40B,340.0,-1.80%,22.94,15,,4.90%,,2.10%,,0.54M,-64.40B
5,2006-01-31,,107.82K,4.90%,,,0.10%,4.50%,,3.10%,60.2,6.22%,-0.13M,8.04M,-64.40B,340.0,-1.80%,22.94,15,,4.90%,,2.10%,,0.54M,-64.40B
6,2006-02-01,,103.47K,4.70%,,,0.20%,4.50%,,3.00%,61.1,6.10%,1.65M,7.67M,-66.70B,343.3,-3.60%,17.51,18,,4.70%,,-5.20%,,-0.15M,-66.70B
7,2006-02-03,,103.47K,4.70%,,,0.20%,4.50%,,3.00%,61.1,6.10%,1.65M,7.67M,-66.70B,343.3,-3.60%,17.51,18,,4.70%,,-5.20%,,-0.15M,-66.70B
8,2006-02-10,,103.47K,4.70%,,,0.20%,4.50%,,3.00%,61.1,6.10%,1.65M,7.67M,-66.70B,343.3,-3.60%,17.51,18,,4.70%,,-5.20%,,-0.15M,-66.70B
9,2006-02-17,,103.47K,4.70%,,,0.20%,4.50%,,3.00%,61.1,6.10%,1.65M,7.67M,-66.70B,343.3,-3.60%,17.51,18,,4.70%,,-5.20%,,-0.15M,-66.70B
10,2006-02-24,,103.47K,4.70%,,,0.20%,4.50%,,3.00%,61.1,6.10%,1.65M,7.67M,-66.70B,343.3,-3.60%,17.51,18,,4.70%,,-5.20%,,-0.15M,-66.70B
11,2006-03-01,,87.44K,4.80%,,,0.20%,4.50%,,3.00%,59.5,6.23%,-0.78M,7.62M,-62.90B,354.3,1.60%,20.87,7,,4.80%,,-9.60%,,2.53M,-62.90B
12,2006-03-03,,87.44K,4.80%,,,0.20%,4.50%,,3.00%,59.5,6.23%,-0.78M,7.62M,-62.90B,354.3,1.60%,20.87,7,,4.80%,,-9.60%,,2.53M,-62.90B
13,2006-03-10,,87.44K,4.80%,,,0.20%,4.50%,,3.00%,59.5,6.23%,-0.78M,7.62M,-62.90B,354.3,1.60%,20.87,7,,4.80%,,-9.60%,,2.53M,-62.90B
14,2006-03-17,,87.44K,4.80%,,,0.20%,4.50%,,3.00%,59.5,6.23%,-0.78M,7.62M,-62.90B,354.3,1.60%,20.87,7,,4.80%,,-9.60%,,2.53M,-62.90B
15,2006-03-24,,87.44K,4.80%,,,0.20%,4.50%,,3.00%,59.5,6.23%,-0.78M,7.62M,-62.90B,354.3,1.60%,20.87,7,,4.80%,,-9.60%,,2.53M,-62.90B
16,2006-03-28,,87.44K,4.80%,,,0.20%,4.75%,,3.00%,59.5,6.23%,-0.78M,7.62M,-62.90B,354.3,1.60%,20.87,7,,4.80%,,-9.60%,,2.53M,-62.90B
17,2006-03-31,,87.44K,4.80%,,,0.20%,4.75%,,3.00%,59.5,6.23%,-0.78M,7.62M,-62.90B,354.3,1.60%,20.87,7,,4.80%,,-9.60%,,2.53M,-62.90B
18,2006-04-01,34.4,64.98K,4.70%,,,0.30%,4.75%,,3.00%,59.4,6.38%,-2.48M,7.64M,-62.60B,363.7,5.40%,33.16,6,,4.70%,,5.20%,,2.55M,-62.60B
