Category: All categories

Week,find work: (United States)
2013-01-06,76
2013-01-13,75
2013-01-20,70
2013-01-27,76
2013-02-03,81
2013-02-10,75
2013-02-17,76
2013-02-24,83
2013-03-03,77
2013-03-10,76
2013-03-17,76
2013-03-24,73
2013-03-31,73
2013-04-07,73
2013-04-14,75
2013-04-21,71
2013-04-28,83
2013-05-05,77
2013-05-12,64
2013-05-19,66
2013-05-26,69
2013-06-02,71
2013-06-09,61
2013-06-16,64
2013-06-23,61
2013-06-30,63
2013-07-07,64
2013-07-14,62
2013-07-21,65
2013-07-28,70
2013-08-04,64
2013-08-11,58
2013-08-18,70
2013-08-25,58
2013-09-01,64
2013-09-08,68
2013-09-15,80
2013-09-22,78
2013-09-29,80
2013-10-06,86
2013-10-13,77
2013-10-20,91
2013-10-27,86
2013-11-03,81
2013-11-10,80
2013-11-17,82
2013-11-24,63
2013-12-01,79
2013-12-08,75
2013-12-15,72
2013-12-22,56
2013-12-29,63
2014-01-05,74
2014-01-12,85
2014-01-19,78
2014-01-26,80
2014-02-02,84
2014-02-09,88
2014-02-16,87
2014-02-23,86
2014-03-02,83
2014-03-09,81
2014-03-16,86
2014-03-23,86
2014-03-30,87
2014-04-06,75
2014-04-13,84
2014-04-20,89
2014-04-27,75
2014-05-04,75
2014-05-11,75
2014-05-18,78
2014-05-25,65
2014-06-01,68
2014-06-08,69
2014-06-15,69
2014-06-22,69
2014-06-29,54
2014-07-06,70
2014-07-13,69
2014-07-20,63
2014-07-27,65
2014-08-03,56
2014-08-10,58
2014-08-17,69
2014-08-24,69
2014-08-31,73
2014-09-07,69
2014-09-14,75
2014-09-21,82
2014-09-28,87
2014-10-05,92
2014-10-12,89
2014-10-19,88
2014-10-26,76
2014-11-02,82
2014-11-09,87
2014-11-16,83
2014-11-23,55
2014-11-30,86
2014-12-07,81
2014-12-14,67
2014-12-21,52
2014-12-28,60
2015-01-04,76
2015-01-11,76
2015-01-18,77
2015-01-25,77
2015-02-01,83
2015-02-08,82
2015-02-15,77
2015-02-22,86
2015-03-01,87
2015-03-08,83
2015-03-15,74
2015-03-22,76
2015-03-29,78
2015-04-05,73
2015-04-12,88
2015-04-19,83
2015-04-26,70
2015-05-03,75
2015-05-10,85
2015-05-17,75
2015-05-24,67
2015-05-31,65
2015-06-07,68
2015-06-14,71
2015-06-21,65
2015-06-28,66
2015-07-05,67
2015-07-12,74
2015-07-19,66
2015-07-26,70
2015-08-02,58
2015-08-09,65
2015-08-16,62
2015-08-23,71
2015-08-30,77
2015-09-06,79
2015-09-13,82
2015-09-20,86
2015-09-27,92
2015-10-04,89
2015-10-11,87
2015-10-18,93
2015-10-25,83
2015-11-01,84
2015-11-08,83
2015-11-15,89
2015-11-22,71
2015-11-29,81
2015-12-06,94
2015-12-13,75
2015-12-20,58
2015-12-27,63
2016-01-03,74
2016-01-10,74
2016-01-17,79
2016-01-24,80
2016-01-31,86
2016-02-07,88
2016-02-14,79
2016-02-21,100
2016-02-28,92
2016-03-06,84
2016-03-13,80
2016-03-20,78
2016-03-27,87
2016-04-03,85
2016-04-10,88
2016-04-17,87
2016-04-24,84
2016-05-01,86
2016-05-08,82
2016-05-15,75
2016-05-22,77
2016-05-29,72
2016-06-05,72
2016-06-12,61
2016-06-19,67
2016-06-26,67
2016-07-03,63
2016-07-10,68
2016-07-17,68
2016-07-24,63
2016-07-31,59
2016-08-07,57
2016-08-14,56
2016-08-21,62
2016-08-28,67
2016-09-04,75
2016-09-11,79
2016-09-18,74
2016-09-25,77
2016-10-02,75
2016-10-09,82
2016-10-16,81
2016-10-23,80
2016-10-30,82
2016-11-06,79
2016-11-13,79
2016-11-20,62
2016-11-27,91
2016-12-04,87
2016-12-11,88
2016-12-18,60
2016-12-25,55
2017-01-01,68
2017-01-08,83
2017-01-15,79
2017-01-22,86
2017-01-29,86
2017-02-05,94
2017-02-12,88
2017-02-19,84
2017-02-26,97
2017-03-05,90
2017-03-12,82
2017-03-19,87
2017-03-26,83
2017-04-02,87
2017-04-09,85
2017-04-16,82
2017-04-23,87
2017-04-30,84
2017-05-07,79
2017-05-14,73
2017-05-21,75
2017-05-28,65
2017-06-04,71
2017-06-11,69
2017-06-18,71
2017-06-25,61
2017-07-02,60
2017-07-09,64
2017-07-16,61
2017-07-23,66
2017-07-30,62
2017-08-06,59
2017-08-13,60
2017-08-20,62
2017-08-27,70
2017-09-03,70
2017-09-10,73
2017-09-17,83
2017-09-24,85
2017-10-01,82
2017-10-08,84
2017-10-15,86
2017-10-22,83
2017-10-29,78
2017-11-05,82
2017-11-12,88
2017-11-19,65
2017-11-26,87
2017-12-03,85
2017-12-10,84
2017-12-17,62
2017-12-24,47
2017-12-31,53
