Category: All categories

Week,NASDAQ:AAPL: (United States)
2008-01-06,62
2008-01-13,88
2008-01-20,100
2008-01-27,66
2008-02-03,56
2008-02-10,50
2008-02-17,41
2008-02-24,54
2008-03-02,50
2008-03-09,43
2008-03-16,47
2008-03-23,45
2008-03-30,46
2008-04-06,48
2008-04-13,46
2008-04-20,76
2008-04-27,50
2008-05-04,50
2008-05-11,50
2008-05-18,47
2008-05-25,41
2008-06-01,43
2008-06-08,81
2008-06-15,49
2008-06-22,41
2008-06-29,42
2008-07-06,46
2008-07-13,50
2008-07-20,64
2008-07-27,43
2008-08-03,37
2008-08-10,39
2008-08-17,31
2008-08-24,30
2008-08-31,29
2008-09-07,41
2008-09-14,51
2008-09-21,41
2008-09-28,76
2008-10-05,76
2008-10-12,72
2008-10-19,68
2008-10-26,55
2008-11-02,39
2008-11-09,40
2008-11-16,38
2008-11-23,33
2008-11-30,28
2008-12-07,29
2008-12-14,32
2008-12-21,21
2008-12-28,25
2009-01-04,34
2009-01-11,48
2009-01-18,38
2009-01-25,26
2009-02-01,23
2009-02-08,26
2009-02-15,22
2009-02-22,24
2009-03-01,24
2009-03-08,24
2009-03-15,22
2009-03-22,26
2009-03-29,26
2009-04-05,23
2009-04-12,24
2009-04-19,34
2009-04-26,23
2009-05-03,26
2009-05-10,20
2009-05-17,20
2009-05-24,19
2009-05-31,28
2009-06-07,33
2009-06-14,22
2009-06-21,24
2009-06-28,19
2009-07-05,16
2009-07-12,24
2009-07-19,37
2009-07-26,23
2009-08-02,21
2009-08-09,18
2009-08-16,18
2009-08-23,21
2009-08-30,18
2009-09-06,24
2009-09-13,24
2009-09-20,23
2009-09-27,20
2009-10-04,22
2009-10-11,21
2009-10-18,53
2009-10-25,28
2009-11-01,25
2009-11-08,22
2009-11-15,21
2009-11-22,18
2009-11-29,19
2009-12-06,19
2009-12-13,17
2009-12-20,20
2009-12-27,22
2010-01-03,26
2010-01-10,21
2010-01-17,26
2010-01-24,69
2010-01-31,27
2010-02-07,23
2010-02-14,19
2010-02-21,19
2010-02-28,21
2010-03-07,27
2010-03-14,21
2010-03-21,22
2010-03-28,32
2010-04-04,40
2010-04-11,31
2010-04-18,55
2010-04-25,33
2010-05-02,40
2010-05-09,32
2010-05-16,28
2010-05-23,34
2010-05-30,29
2010-06-06,37
2010-06-13,31
2010-06-20,34
2010-06-27,33
2010-07-04,24
2010-07-11,37
2010-07-18,42
2010-07-25,25
2010-08-01,21
2010-08-08,20
2010-08-15,21
2010-08-22,21
2010-08-29,25
2010-09-05,18
2010-09-12,25
2010-09-19,28
2010-09-26,26
2010-10-03,26
2010-10-10,35
2010-10-17,59
2010-10-24,29
2010-10-31,24
2010-11-07,25
2010-11-14,25
2010-11-21,18
2010-11-28,21
2010-12-05,21
2010-12-12,20
2010-12-19,20
2010-12-26,20
2011-01-02,30
2011-01-09,37
2011-01-16,73
2011-01-23,35
2011-01-30,28
2011-02-06,34
2011-02-13,35
2011-02-20,32
2011-02-27,38
2011-03-06,30
2011-03-13,35
2011-03-20,25
2011-03-27,26
2011-04-03,25
2011-04-10,25
2011-04-17,47
2011-04-24,30
2011-05-01,23
2011-05-08,20
2011-05-15,21
2011-05-22,20
2011-05-29,22
2011-06-05,25
2011-06-12,21
2011-06-19,25
2011-06-26,23
2011-07-03,22
2011-07-10,24
2011-07-17,62
2011-07-24,37
2011-07-31,43
2011-08-07,55
2011-08-14,34
2011-08-21,82
2011-08-28,30
2011-09-04,23
2011-09-11,27
2011-09-18,42
2011-09-25,34
2011-10-02,92
2011-10-09,45
2011-10-16,66
2011-10-23,35
2011-10-30,29
2011-11-06,29
2011-11-13,26
2011-11-20,21
2011-11-27,26
2011-12-04,22
2011-12-11,20
2011-12-18,22
2011-12-25,21
2012-01-01,24
2012-01-08,25
2012-01-15,24
2012-01-22,58
2012-01-29,31
2012-02-05,39
2012-02-12,53
2012-02-19,36
2012-02-26,47
2012-03-04,57
2012-03-11,66
2012-03-18,74
2012-03-25,55
2012-04-01,50
2012-04-08,58
2012-04-15,69
2012-04-22,99
2012-04-29,55
2012-05-06,46
2012-05-13,48
2012-05-20,50
2012-05-27,37
2012-06-03,40
2012-06-10,46
2012-06-17,37
2012-06-24,31
2012-07-01,34
2012-07-08,35
2012-07-15,36
2012-07-22,63
2012-07-29,43
2012-08-05,36
2012-08-12,47
2012-08-19,63
2012-08-26,54
2012-09-02,44
2012-09-09,77
2012-09-16,71
2012-09-23,62
2012-09-30,57
2012-10-07,65
2012-10-14,62
2012-10-21,82
2012-10-28,55
2012-11-04,69
2012-11-11,65
2012-11-18,56
2012-11-25,59
2012-12-02,67
2012-12-09,64
2012-12-16,64
2012-12-23,40
2012-12-30,54
