Category: All categories

Week,NASDAQ:GOOG: (United States)
2013-01-06,70
2013-01-13,67
2013-01-20,73
2013-01-27,68
2013-02-03,67
2013-02-10,79
2013-02-17,83
2013-02-24,70
2013-03-03,69
2013-03-10,65
2013-03-17,68
2013-03-24,62
2013-03-31,62
2013-04-07,61
2013-04-14,71
2013-04-21,71
2013-04-28,72
2013-05-05,64
2013-05-12,74
2013-05-19,70
2013-05-26,59
2013-06-02,64
2013-06-09,60
2013-06-16,61
2013-06-23,61
2013-06-30,57
2013-07-07,60
2013-07-14,68
2013-07-21,63
2013-07-28,60
2013-08-04,58
2013-08-11,58
2013-08-18,62
2013-08-25,64
2013-09-01,59
2013-09-08,61
2013-09-15,64
2013-09-22,77
2013-09-29,81
2013-10-06,76
2013-10-13,100
2013-10-20,89
2013-10-27,80
2013-11-03,79
2013-11-10,73
2013-11-17,79
2013-11-24,71
2013-12-01,73
2013-12-08,67
2013-12-15,76
2013-12-22,69
2013-12-29,64
2014-01-05,70
2014-01-12,76
2014-01-19,72
2014-01-26,87
2014-02-02,80
2014-02-09,78
2014-02-16,75
2014-02-23,78
2014-03-02,86
2014-03-09,75
2014-03-16,76
2014-03-23,72
2014-03-30,90
2014-04-06,83
2014-04-13,78
2014-04-20,82
2014-04-27,81
2014-05-04,83
2014-05-11,73
2014-05-18,76
2014-05-25,79
2014-06-01,66
2014-06-08,68
2014-06-15,66
2014-06-22,67
2014-06-29,60
2014-07-06,62
2014-07-13,67
2014-07-20,63
2014-07-27,60
2014-08-03,58
2014-08-10,60
2014-08-17,57
2014-08-24,55
2014-08-31,55
2014-09-07,54
2014-09-14,56
2014-09-21,53
2014-09-28,51
2014-10-05,56
2014-10-12,61
2014-10-19,56
2014-10-26,56
2014-11-02,54
2014-11-09,55
2014-11-16,54
2014-11-23,47
2014-11-30,50
2014-12-07,53
2014-12-14,50
2014-12-21,43
2014-12-28,41
2015-01-04,47
2015-01-11,48
2015-01-18,49
2015-01-25,54
2015-02-01,49
2015-02-08,47
2015-02-15,47
2015-02-22,48
2015-03-01,49
2015-03-08,45
2015-03-15,46
2015-03-22,42
2015-03-29,44
2015-04-05,42
2015-04-12,47
2015-04-19,49
2015-04-26,46
2015-05-03,45
2015-05-10,44
2015-05-17,44
2015-05-24,40
2015-05-31,40
2015-06-07,36
2015-06-14,36
2015-06-21,34
2015-06-28,37
2015-07-05,34
2015-07-12,54
2015-07-19,47
2015-07-26,38
2015-08-02,38
2015-08-09,53
2015-08-16,42
2015-08-23,52
2015-08-30,45
2015-09-06,43
2015-09-13,44
2015-09-20,41
2015-09-27,43
2015-10-04,41
2015-10-11,39
2015-10-18,47
2015-10-25,46
2015-11-01,45
2015-11-08,42
2015-11-15,43
2015-11-22,36
2015-11-29,40
2015-12-06,39
2015-12-13,35
2015-12-20,32
2015-12-27,28
2016-01-03,35
2016-01-10,37
2016-01-17,34
2016-01-24,41
2016-01-31,56
2016-02-07,41
2016-02-14,35
2016-02-21,38
2016-02-28,35
2016-03-06,33
2016-03-13,36
2016-03-20,33
2016-03-27,33
2016-04-03,32
2016-04-10,35
2016-04-17,41
2016-04-24,38
2016-05-01,35
2016-05-08,36
2016-05-15,34
2016-05-22,33
2016-05-29,31
2016-06-05,30
2016-06-12,30
2016-06-19,32
2016-06-26,32
2016-07-03,27
2016-07-10,30
2016-07-17,30
2016-07-24,41
2016-07-31,33
2016-08-07,29
2016-08-14,27
2016-08-21,30
2016-08-28,28
2016-09-04,27
2016-09-11,28
2016-09-18,28
2016-09-25,29
2016-10-02,29
2016-10-09,28
2016-10-16,30
2016-10-23,40
2016-10-30,32
2016-11-06,37
2016-11-13,34
2016-11-20,24
2016-11-27,28
2016-12-04,28
2016-12-11,27
2016-12-18,23
2016-12-25,20
2017-01-01,25
2017-01-08,26
2017-01-15,25
2017-01-22,36
2017-01-29,31
2017-02-05,26
2017-02-12,27
2017-02-19,25
2017-02-26,26
2017-03-05,24
2017-03-12,25
2017-03-19,26
2017-03-26,26
2017-04-02,25
2017-04-09,24
2017-04-16,22
2017-04-23,36
2017-04-30,31
2017-05-07,29
2017-05-14,28
2017-05-21,29
2017-05-28,24
2017-06-04,29
2017-06-11,26
2017-06-18,22
2017-06-25,29
2017-07-02,24
2017-07-09,22
2017-07-16,23
2017-07-23,37
2017-07-30,24
2017-08-06,24
2017-08-13,22
2017-08-20,22
2017-08-27,23
2017-09-03,20
2017-09-10,22
2017-09-17,23
2017-09-24,25
2017-10-01,22
2017-10-08,24
2017-10-15,25
2017-10-22,36
2017-10-29,29
2017-11-05,25
2017-11-12,26
2017-11-19,19
2017-11-26,28
2017-12-03,26
2017-12-10,26
2017-12-17,22
2017-12-24,20
2017-12-31,21
