Category: All categories

Week,recession: (United States)
2008-01-06,49
2008-01-13,70
2008-01-20,100
2008-01-27,45
2008-02-03,36
2008-02-10,27
2008-02-17,19
2008-02-24,33
2008-03-02,37
2008-03-09,37
2008-03-16,41
2008-03-23,26
2008-03-30,34
2008-04-06,32
2008-04-13,25
2008-04-20,25
2008-04-27,30
2008-05-04,20
2008-05-11,19
2008-05-18,18
2008-05-25,18
2008-06-01,15
2008-06-08,19
2008-06-15,13
2008-06-22,16
2008-06-29,15
2008-07-06,19
2008-07-13,20
2008-07-20,15
2008-07-27,17
2008-08-03,14
2008-08-10,14
2008-08-17,16
2008-08-24,26
2008-08-31,38
2008-09-07,32
2008-09-14,36
2008-09-21,41
2008-09-28,48
2008-10-05,66
2008-10-12,58
2008-10-19,59
2008-10-26,42
2008-11-02,37
2008-11-09,44
2008-11-16,55
2008-11-23,32
2008-11-30,90
2008-12-07,55
2008-12-14,39
2008-12-21,33
2008-12-28,27
2009-01-04,37
2009-01-11,37
2009-01-18,37
2009-01-25,52
2009-02-01,49
2009-02-08,55
2009-02-15,51
2009-02-22,51
2009-03-01,54
2009-03-08,54
2009-03-15,43
2009-03-22,38
2009-03-29,40
2009-04-05,34
2009-04-12,35
2009-04-19,38
2009-04-26,34
2009-05-03,30
2009-05-10,30
2009-05-17,28
2009-05-24,28
2009-05-31,25
2009-06-07,22
2009-06-14,22
2009-06-21,23
2009-06-28,22
2009-07-05,23
2009-07-12,24
2009-07-19,23
2009-07-26,25
2009-08-02,21
2009-08-09,21
2009-08-16,22
2009-08-23,21
2009-08-30,23
2009-09-06,22
2009-09-13,28
2009-09-20,23
2009-09-27,25
2009-10-04,23
2009-10-11,24
2009-10-18,25
2009-10-25,25
2009-11-01,24
2009-11-08,22
2009-11-15,27
2009-11-22,20
2009-11-29,26
2009-12-06,25
2009-12-13,21
2009-12-20,15
2009-12-27,13
2010-01-03,18
2010-01-10,17
2010-01-17,18
2010-01-24,19
2010-01-31,21
2010-02-07,17
2010-02-14,17
2010-02-21,18
2010-02-28,19
2010-03-07,18
2010-03-14,15
2010-03-21,16
2010-03-28,15
2010-04-04,18
2010-04-11,19
2010-04-18,18
2010-04-25,17
2010-05-02,17
2010-05-09,15
2010-05-16,14
2010-05-23,13
2010-05-30,13
2010-06-06,13
2010-06-13,13
2010-06-20,9
2010-06-27,17
2010-07-04,13
2010-07-11,12
2010-07-18,11
2010-07-25,11
2010-08-01,11
2010-08-08,11
2010-08-15,14
2010-08-22,16
2010-08-29,13
2010-09-05,13
2010-09-12,14
2010-09-19,28
2010-09-26,17
2010-10-03,16
2010-10-10,15
2010-10-17,14
2010-10-24,15
2010-10-31,17
2010-11-07,15
2010-11-14,16
2010-11-21,13
2010-11-28,19
2010-12-05,16
2010-12-12,13
2010-12-19,9
2010-12-26,8
2011-01-02,11
2011-01-09,10
2011-01-16,11
2011-01-23,11
2011-01-30,11
2011-02-06,12
2011-02-13,12
2011-02-20,12
2011-02-27,15
2011-03-06,14
2011-03-13,12
2011-03-20,12
2011-03-27,13
2011-04-03,13
2011-04-10,14
2011-04-17,12
2011-04-24,13
2011-05-01,14
2011-05-08,11
2011-05-15,11
2011-05-22,11
2011-05-29,12
2011-06-05,12
2011-06-12,14
2011-06-19,10
2011-06-26,9
2011-07-03,10
2011-07-10,11
2011-07-17,9
2011-07-24,12
2011-07-31,23
2011-08-07,28
2011-08-14,19
2011-08-21,14
2011-08-28,13
2011-09-04,15
2011-09-11,15
2011-09-18,19
2011-09-25,19
2011-10-02,20
2011-10-09,15
2011-10-16,14
2011-10-23,14
2011-10-30,14
2011-11-06,15
2011-11-13,15
2011-11-20,13
2011-11-27,14
2011-12-04,14
2011-12-11,14
2011-12-18,8
2011-12-25,6
2012-01-01,9
2012-01-08,10
2012-01-15,10
2012-01-22,11
2012-01-29,12
2012-02-05,10
2012-02-12,10
2012-02-19,10
2012-02-26,13
2012-03-04,11
2012-03-11,10
2012-03-18,10
2012-03-25,10
2012-04-01,9
2012-04-08,12
2012-04-15,11
2012-04-22,14
2012-04-29,14
2012-05-06,12
2012-05-13,10
2012-05-20,10
2012-05-27,10
2012-06-03,9
2012-06-10,10
2012-06-17,9
2012-06-24,8
2012-07-01,8
2012-07-08,8
2012-07-15,10
2012-07-22,9
2012-07-29,8
2012-08-05,8
2012-08-12,7
2012-08-19,10
2012-08-26,9
2012-09-02,13
2012-09-09,11
2012-09-16,10
2012-09-23,11
2012-09-30,13
2012-10-07,11
2012-10-14,12
2012-10-21,12
2012-10-28,9
2012-11-04,15
2012-11-11,16
2012-11-18,9
2012-11-25,12
2012-12-02,13
2012-12-09,10
2012-12-16,7
2012-12-23,5
2012-12-30,7
