Category: All categories

Week,recession: (United States)
2013-01-06,45
2013-01-13,45
2013-01-20,50
2013-01-27,62
2013-02-03,57
2013-02-10,51
2013-02-17,56
2013-02-24,57
2013-03-03,61
2013-03-10,57
2013-03-17,52
2013-03-24,46
2013-03-31,51
2013-04-07,62
2013-04-14,57
2013-04-21,61
2013-04-28,64
2013-05-05,59
2013-05-12,53
2013-05-19,43
2013-05-26,40
2013-06-02,41
2013-06-09,36
2013-06-16,33
2013-06-23,33
2013-06-30,33
2013-07-07,32
2013-07-14,32
2013-07-21,32
2013-07-28,37
2013-08-04,31
2013-08-11,33
2013-08-18,34
2013-08-25,39
2013-09-01,33
2013-09-08,50
2013-09-15,44
2013-09-22,50
2013-09-29,56
2013-10-06,55
2013-10-13,51
2013-10-20,49
2013-10-27,49
2013-11-03,55
2013-11-10,61
2013-11-17,57
2013-11-24,40
2013-12-01,61
2013-12-08,55
2013-12-15,41
2013-12-22,21
2013-12-29,21
2014-01-05,38
2014-01-12,40
2014-01-19,39
2014-01-26,46
2014-02-02,49
2014-02-09,49
2014-02-16,51
2014-02-23,52
2014-03-02,54
2014-03-09,41
2014-03-16,49
2014-03-23,58
2014-03-30,49
2014-04-06,55
2014-04-13,53
2014-04-20,58
2014-04-27,62
2014-05-04,58
2014-05-11,50
2014-05-18,43
2014-05-25,42
2014-06-01,41
2014-06-08,39
2014-06-15,38
2014-06-22,41
2014-06-29,36
2014-07-06,31
2014-07-13,35
2014-07-20,35
2014-07-27,36
2014-08-03,32
2014-08-10,28
2014-08-17,28
2014-08-24,40
2014-08-31,40
2014-09-07,43
2014-09-14,46
2014-09-21,46
2014-09-28,48
2014-10-05,55
2014-10-12,53
2014-10-19,53
2014-10-26,50
2014-11-02,53
2014-11-09,57
2014-11-16,74
2014-11-23,44
2014-11-30,60
2014-12-07,57
2014-12-14,52
2014-12-21,22
2014-12-28,24
2015-01-04,41
2015-01-11,46
2015-01-18,45
2015-01-25,52
2015-02-01,48
2015-02-08,49
2015-02-15,43
2015-02-22,52
2015-03-01,52
2015-03-08,54
2015-03-15,49
2015-03-22,56
2015-03-29,54
2015-04-05,56
2015-04-12,67
2015-04-19,65
2015-04-26,60
2015-05-03,59
2015-05-10,52
2015-05-17,43
2015-05-24,41
2015-05-31,42
2015-06-07,39
2015-06-14,33
2015-06-21,34
2015-06-28,36
2015-07-05,40
2015-07-12,33
2015-07-19,35
2015-07-26,30
2015-08-02,38
2015-08-09,34
2015-08-16,57
2015-08-23,52
2015-08-30,62
2015-09-06,53
2015-09-13,54
2015-09-20,50
2015-09-27,58
2015-10-04,55
2015-10-11,55
2015-10-18,54
2015-10-25,55
2015-11-01,56
2015-11-08,59
2015-11-15,58
2015-11-22,37
2015-11-29,65
2015-12-06,68
2015-12-13,59
2015-12-20,27
2015-12-27,28
2016-01-03,53
2016-01-10,74
2016-01-17,75
2016-01-24,63
2016-01-31,73
2016-02-07,79
2016-02-14,67
2016-02-21,70
2016-02-28,71
2016-03-06,63
2016-03-13,58
2016-03-20,53
2016-03-27,61
2016-04-03,80
2016-04-10,73
2016-04-17,73
2016-04-24,78
2016-05-01,71
2016-05-08,70
2016-05-15,59
2016-05-22,51
2016-05-29,48
2016-06-05,54
2016-06-12,35
2016-06-19,55
2016-06-26,48
2016-07-03,40
2016-07-10,34
2016-07-17,38
2016-07-24,44
2016-07-31,44
2016-08-07,34
2016-08-14,30
2016-08-21,37
2016-08-28,46
2016-09-04,48
2016-09-11,52
2016-09-18,58
2016-09-25,61
2016-10-02,58
2016-10-09,66
2016-10-16,60
2016-10-23,57
2016-10-30,64
2016-11-06,100
2016-11-13,74
2016-11-20,47
2016-11-27,65
2016-12-04,69
2016-12-11,62
2016-12-18,38
2016-12-25,23
2017-01-01,43
2017-01-08,47
2017-01-15,50
2017-01-22,63
2017-01-29,61
2017-02-05,55
2017-02-12,58
2017-02-19,51
2017-02-26,62
2017-03-05,61
2017-03-12,57
2017-03-19,60
2017-03-26,56
2017-04-02,64
2017-04-09,55
2017-04-16,60
2017-04-23,70
2017-04-30,66
2017-05-07,61
2017-05-14,52
2017-05-21,46
2017-05-28,41
2017-06-04,44
2017-06-11,38
2017-06-18,37
2017-06-25,36
2017-07-02,33
2017-07-09,37
2017-07-16,35
2017-07-23,38
2017-07-30,36
2017-08-06,31
2017-08-13,30
2017-08-20,34
2017-08-27,41
2017-09-03,42
2017-09-10,44
2017-09-17,47
2017-09-24,47
2017-10-01,54
2017-10-08,49
2017-10-15,53
2017-10-22,56
2017-10-29,56
2017-11-05,53
2017-11-12,60
2017-11-19,38
2017-11-26,64
2017-12-03,65
2017-12-10,65
2017-12-17,47
2017-12-24,31
2017-12-31,37
