Category: All categories

Month,recession: (United States)
2004-01,3
2004-02,4
2004-03,5
2004-04,6
2004-05,4
2004-06,3
2004-07,4
2004-08,3
2004-09,5
2004-10,5
2004-11,3
2004-12,3
2005-01,3
2005-02,4
2005-03,4
2005-04,4
2005-05,3
2005-06,3
2005-07,2
2005-08,4
2005-09,5
2005-10,5
2005-11,4
2005-12,4
2006-01,3
2006-02,3
2006-03,4
2006-04,4
2006-05,4
2006-06,3
2006-07,3
2006-08,4
2006-09,5
2006-10,4
2006-11,4
2006-12,3
2007-01,3
2007-02,6
2007-03,5
2007-04,4
2007-05,4
2007-06,2
2007-07,3
2007-08,6
2007-09,10
2007-10,8
2007-11,13
2007-12,12
2008-01,53
2008-02,27
2008-03,32
2008-04,28
2008-05,18
2008-06,14
2008-07,16
2008-08,16
2008-09,33
2008-10,49
2008-11,38
2008-12,48
2009-01,35
2009-02,45
2009-03,44
2009-04,35
2009-05,27
2009-06,20
2009-07,21
2009-08,20
2009-09,22
2009-10,22
2009-11,22
2009-12,19
2010-01,16
2010-02,16
2010-03,16
2010-04,16
2010-05,13
2010-06,11
2010-07,11
2010-08,12
2010-09,16
2010-10,14
2010-11,14
2010-12,12
2011-01,10
2011-02,11
2011-03,12
2011-04,12
2011-05,10
2011-06,10
2011-07,10
2011-08,19
2011-09,17
2011-10,15
2011-11,13
2011-12,10
2012-01,9
2012-02,10
2012-03,9
2012-04,11
2012-05,10
2012-06,8
2012-07,8
2012-08,8
2012-09,10
2012-10,11
2012-11,12
2012-12,8
2013-01,7
2013-02,8
2013-03,8
2013-04,9
2013-05,8
2013-06,5
2013-07,5
2013-08,5
2013-09,7
2013-10,8
2013-11,8
2013-12,7
2014-01,6
2014-02,7
2014-03,8
2014-04,8
2014-05,8
2014-06,6
2014-07,5
2014-08,5
2014-09,7
2014-10,8
2014-11,9
2014-12,7
2015-01,7
2015-02,7
2015-03,8
2015-04,9
2015-05,7
2015-06,6
2015-07,5
2015-08,7
2015-09,9
2015-10,8
2015-11,8
2015-12,8
2016-01,9
2016-02,11
2016-03,10
2016-04,11
2016-05,10
2016-06,7
2016-07,6
2016-08,6
2016-09,8
2016-10,10
2016-11,11
2016-12,8
2017-01,8
2017-02,9
2017-03,9
2017-04,10
2017-05,8
2017-06,6
2017-07,5
2017-08,5
2017-09,7
2017-10,8
2017-11,8
2017-12,8
2018-01,8
2018-02,10
2018-03,9
2018-04,10
2018-05,9
2018-06,10
2018-07,9
2018-08,8
2018-09,11
2018-10,12
2018-11,11
2018-12,18
2019-01,12
2019-02,12
2019-03,14
2019-04,14
2019-05,11
2019-06,10
2019-07,10
2019-08,47
2019-09,20
2019-10,17
2019-11,13
2019-12,11
2020-01,10
2020-02,18
2020-03,71
2020-04,33
2020-05,19
2020-06,15
2020-07,10
2020-08,9
2020-09,10
2020-10,10
2020-11,11
2020-12,8
2021-01,7
2021-02,8
2021-03,7
2021-04,8
2021-05,8
2021-06,5
2021-07,5
2021-08,5
2021-09,7
2021-10,8
2021-11,8
2021-12,7
2022-01,8
2022-02,12
2022-03,23
2022-04,39
2022-05,51
2022-06,100
2022-07,82
2022-08,35
2022-09,30
2022-10,44
2022-11,33
2022-12,26
